"dur","int","norm","dia","dial"
0.21,45.2,"1","â","â"
0.355,45.6,"1","â","â"
0.224,47.1,"1","â","â"
0.183,53.7,"1","ä","ä"
0.273,45.4,"1","ä","ä"
0.296,55.1,"1","ä","ä"
0.532,53.1,"1","è","è"
0.408,54,"1","è","è"
0.375,53.2,"1","è","è"
0.456,43.9,"1","è","è"
0.483,39.2,"1","è","è"
0.361,39.6,"1","è","è"
0.509,62.1,"1","è","è"
0.351,46.9,"1","è","è"
0.337,56.2,"1","è","è"
0.17,52,"1","è","è"
0.118,51.3,"1","è","è"
0.088,47.4,"1","è","è"
0.547,46.2,"1","è","è"
0.676,42.7,"1","è","è"
0.426,45.5,"1","è","è"
0.202,19.2,"1","è","è"
0.243,27.5,"1","è","è"
0.481,31.3,"1","è","è"
0.206,48.4,"1","è","è"
0.27,57.5,"1","è","è"
0.457,58,"1","è","è"
0.21,58.8,"1","è","è"
0.438,46.3,"1","è","è"
0.281,55.6,"1","è","è"
0.292,62.3,"1","è","è"
0.472,45.9,"1","è","è"
0.356,54.1,"1","è","è"
0.335,53.6,"1","è","è"
0.202,51.9,"1","è","è"
0.281,49.4,"1","è","è"
0.146,46,"1","è","è"
0.554,31.2,"1","è","è"
0.277,48.9,"1","è","è"
0.449,47.6,"1","è","è"
0.232,54.4,"1","è","è"
0.307,60.1,"1","è","è"
0.172,70.1,"1","è","è"
0.314,58.4,"1","è","è"
0.292,62.1,"1","è","è"
0.075,69.4,"1","è","è"
0.27,55.9,"1","è","è"
0.434,47.3,"1","è","è"
0.101,39.7,"1","è","è"
0.528,58.8,"1","è","è"
0.483,55.4,"1","è","è"
0.438,64.2,"1","è","è"
0.191,55.6,"1","è","è"
0.416,48.9,"1","è","è"
0.206,47.1,"1","è","è"
0.397,53.9,"1","ñ","ñ"
0.457,52.2,"1","ñ","ñ"
0.427,51.2,"1","ñ","ñ"
0.281,66.6,"1","â","â"
0.281,61.2,"1","â","â"
0.198,59.4,"1","â","â"
0.206,64.2,"1","ñ","ñ"
0.187,62.5,"1","ñ","ñ"
0.18,62.7,"1","ñ","ñ"
0.124,54.2,"1","è","è"
0.247,48.5,"1","è","è"
0.112,50.9,"1","ò","ò"
0.154,47.5,"1","ò","ò"
0.154,49.3,"1","ò","ò"
0.161,53.5,"1","ò","ò"
0.25,43.9,"1","ï","ï"
0.191,39.2,"1","ï","ï"
0.214,36,"1","ï","ï"
0.219,42.8,"1","ï","ï"
0.24,37.1,"1","ï","ï"
0.212,32.9,"1","ï","ï"
0.087,46.1,"1","ï","ï"
0.15,43.5,"1","ï","ï"
0.143,39.6,"1","ï","ï"
0.133,43.1,"1","ï","ï"
0.079,44.8,"1","ï","ï"
0.082,42.5,"1","ï","ï"
0.128,47.1,"0","ï","ï"
0.122,48.1,"0","ï","ï"
0.143,42,"0","ï","ï"
0.235,39.2,"1","ï","ï"
0.301,40.5,"1","ï","ï"
0.233,38.2,"1","ï","ï"
0.196,35.6,"1","ï","ï"
0.124,36.9,"1","ï","ï"
0.153,55,"1","ï","ï"
0.148,47.6,"1","ï","ï"
0.138,45.3,"1","ï","ï"
0.25,44.6,"1","ï","ï"
0.156,41.1,"1","ï","ï"
0.161,34.9,"1","ï","ï"
0.094,45.2,"1","ï","ï"
0.133,47.5,"1","ï","ï"
0.102,42.4,"1","ï","ï"
0.089,45.2,"1","ï","ï"
0.125,42.9,"1","ï","ï"
0.096,41.8,"1","ï","ï"
0.138,44.7,"0","ï","ï"
0.186,44.5,"0","ï","ï"
0.227,47.2,"0","ï","ï"
0.089,48.3,"1","ï","ï"
0.263,40.6,"1","ï","ï"
0.245,41,"1","ï","ï"
0.181,47.5,"1","ï","ï"
0.143,41.4,"1","ï","ï"
0.143,37.1,"1","ï","ï"
0.061,48.1,"1","ï","ï"
0.143,42.2,"1","ï","ï"
0.15,41,"1","ï","ï"
0.125,43.9,"1","ï","ï"
0.135,44.1,"1","ï","ï"
0.207,46.1,"1","ï","ï"
0.107,50.3,"1","ï","ï"
0.14,46.7,"1","ï","ï"
0.068,53,"1","ï","ï"
0.084,50.2,"1","ï","ï"
0.097,54.3,"1","ï","ï"
0.117,50.6,"1","ï","ï"
0.265,46,"1","ï","ï"
0.117,50.6,"1","ï","ï"
0.097,43.3,"1","ï","ï"
0.179,51.7,"0","ï","ï"
0.194,48.4,"0","ï","ï"
0.357,50.4,"0","ï","ï"
0.209,52.8,"0","ï","ï"
0.275,48.6,"0","ï","ï"
0.209,41,"0","ï","ï"
0.106,36,"1","ï","ï"
0.181,44.8,"1","ï","ï"
0.122,41,"1","ï","ï"
0.046,51.1,"0","ï","ï"
0.11,47.8,"0","ï","ï"
0.092,49.1,"0","ï","ï"
0.207,36.6,"1","ï","ï"
0.171,37.6,"1","ï","ï"
0.275,38.4,"1","ï","ï"
0.122,48.3,"1","ï","ï"
