"dur","int","norm","dia"
0.069,76.6,1,"â"
0.06,69.4,1,"â"
0.058,70.1,1,"â"
0.054,68.2,1,"â"
0.043,69.1,1,"â"
0.025,72.7,1,"â"
0.062,71.7,1,"è"
0.057,74.1,1,"è"
0.057,74.3,1,"è"
0.042,69.4,1,"è"
0.077,58.7,1,"è"
0.049,70.9,1,"è"
0.039,70.2,1,"è"
0.039,70.8,1,"â"
0.051,75.8,1,"è"
0.061,73,1,"è"
0.052,67.6,1,"è"
0.109,68.2,1,"è"
0.064,66.6,1,"è"
0.088,59.3,1,"è"
0.057,70.9,1,"è"
0.073,66.5,1,"è"
0.099,55.9,1,"è"
0.031,75.5,1,"è"
0.042,69.8,1,"è"
0.06,68.9,1,"â"
0.043,78.5,1,"è"
0.048,80.6,1,"è"
0.048,62.9,1,"è"
0.073,80.8,1,"è"
0.047,75.5,1,"è"
0.052,70.6,1,"è"
0.062,84.8,1,"ñ"
0.039,84.4,1,"ñ"
0.041,84.3,1,"ñ"
0.067,76.1,1,"ñ"
0.078,77,1,"ñ"
0.096,81.8,1,"ñ"
0.048,85.7,1,"ñ"
0.052,75.6,1,"ñ"
0.032,79.9,1,"ñ"
0.109,79.9,1,"ñ"
0.083,80.2,1,"ñ"
0.101,80.2,1,"ñ"
0.079,73.7,1,"ñ"
0.056,76.5,1,"ñ"
0.039,69.8,1,"ñ"
0.054,65.9,1,"ñ"
0.054,76,1,"ñ"
0.083,70.7,1,"ñ"
0.067,78.4,1,"ñ"
0.073,76.3,1,"ñ"
0.075,77.5,1,"ñ"
0.104,63.3,1,"ñ"
0.091,64.5,1,"ñ"
0.091,62,1,"ñ"
0.054,70.5,1,"ñ"
0.215,55.1,1,"ñ"
0.28,52.8,1,"ñ"
0.036,75.9,1,"ñ"
0.067,64.1,1,"ñ"
0.044,69.7,1,"ñ"
0.062,82.1,1,"ñ"
0.047,86.1,1,"ñ"
0.027,86.8,1,"ñ"
0.161,55.4,1,"ò"
0.109,59.1,1,"ï"
0.109,57.9,1,"ò"
0.078,62.9,1,"ò"
0.073,64.1,1,"ò"
0.073,60.8,1,"ò"
0.158,57.4,0,"ï"
0.166,50.6,0,"ï"
0.185,47.6,0,"ï"
0.088,55.6,1,"ï"
0.099,49,1,"ï"
0.132,49.4,1,"ï"
0.099,49.5,1,"ï"
0.14,50.2,0,"ï"
0.125,47.4,0,"ï"
0.13,42.5,0,"ï"
0.161,52.9,1,"ï"
0.217,52.3,1,"ï"
0.171,41.8,1,"ï"
0.093,59.3,0,"ï"
0.104,60,0,"ï"
0.109,50.5,0,"ï"
0.135,50.2,0,"ï"
0.14,48.2,0,"ï"
0.15,42.8,1,"ï"
0.119,49.3,1,"ï"
0.104,46.1,1,"ï"
0.218,51.1,1,"ï"
0.182,47.4,0,"ï"
0.171,37,0,"ï"
0.093,53.2,0,"ï"
0.104,48.3,0,"ï"
0.114,42.3,0,"ï"
